alcaldia_hechos,cve_col,DELITOS_2018
TLALPAN,12-182,11
TLALPAN,12-183,11
TLALPAN,12-184,73
TLALPAN,12-185,1
TLALPAN,12-188,221
TLALPAN,12-191,47
TLALPAN,12-193,4
TLALPAN,12-194,142
TLALPAN,12-195,72
TLALPAN,12-198,24
TLALPAN,12-199,10
TLALPAN,12-204,11
TLALPAN,12-205,41
TLALPAN,12-208,4
TLALPAN,12-210,485
TLALPAN,12-212,342
TLALPAN,12-213,36
TLALPAN,12-214,180
TLALPAN,12-217,40
TLALPAN,12-220,282
TLALPAN,12-221,2
TLALPAN,12-222,5
VENUSTIANO CARRANZA,17-001,14
VENUSTIANO CARRANZA,17-002,408
VENUSTIANO CARRANZA,17-005,249
VENUSTIANO CARRANZA,17-006,124
VENUSTIANO CARRANZA,17-007,739
VENUSTIANO CARRANZA,17-008,24
VENUSTIANO CARRANZA,17-009,49
VENUSTIANO CARRANZA,17-012,118
VENUSTIANO CARRANZA,17-013,50
VENUSTIANO CARRANZA,17-015,384
VENUSTIANO CARRANZA,17-016,133
VENUSTIANO CARRANZA,17-017,56
VENUSTIANO CARRANZA,17-018,218
VENUSTIANO CARRANZA,17-019,17
VENUSTIANO CARRANZA,17-020,42
VENUSTIANO CARRANZA,17-021,226
VENUSTIANO CARRANZA,17-022,23
VENUSTIANO CARRANZA,17-023,736
VENUSTIANO CARRANZA,17-025,102
VENUSTIANO CARRANZA,17-027,104
VENUSTIANO CARRANZA,17-030,237
VENUSTIANO CARRANZA,17-032,177
VENUSTIANO CARRANZA,17-034,102
VENUSTIANO CARRANZA,17-036,422
VENUSTIANO CARRANZA,17-037,254
VENUSTIANO CARRANZA,17-038,375
VENUSTIANO CARRANZA,17-040,63
VENUSTIANO CARRANZA,17-041,8
VENUSTIANO CARRANZA,17-042,328
VENUSTIANO CARRANZA,17-045,84
VENUSTIANO CARRANZA,17-046,322
VENUSTIANO CARRANZA,17-047,417
VENUSTIANO CARRANZA,17-050,195
VENUSTIANO CARRANZA,17-051,48
VENUSTIANO CARRANZA,17-052,33
VENUSTIANO CARRANZA,17-053,292
VENUSTIANO CARRANZA,17-054,90
VENUSTIANO CARRANZA,17-055,320
VENUSTIANO CARRANZA,17-056,67
VENUSTIANO CARRANZA,17-057,99
VENUSTIANO CARRANZA,17-058,163
VENUSTIANO CARRANZA,17-059,7
VENUSTIANO CARRANZA,17-060,156
VENUSTIANO CARRANZA,17-061,193
VENUSTIANO CARRANZA,17-063,15
VENUSTIANO CARRANZA,17-064,41
VENUSTIANO CARRANZA,17-065,99
VENUSTIANO CARRANZA,17-066,326
VENUSTIANO CARRANZA,17-067,18
VENUSTIANO CARRANZA,17-068,26
VENUSTIANO CARRANZA,17-069,135
VENUSTIANO CARRANZA,17-070,203
VENUSTIANO CARRANZA,17-072,993
VENUSTIANO CARRANZA,17-073,13
VENUSTIANO CARRANZA,17-075,490
VENUSTIANO CARRANZA,17-076,1462
VENUSTIANO CARRANZA,17-081,1165
VENUSTIANO CARRANZA,17-084,927
VENUSTIANO CARRANZA,17-086,434
XOCHIMILCO,13-003,160
XOCHIMILCO,13-004,58
XOCHIMILCO,13-005,58
XOCHIMILCO,13-006,27
XOCHIMILCO,13-007,114
XOCHIMILCO,13-009,22
XOCHIMILCO,13-011,57
XOCHIMILCO,13-012,222
XOCHIMILCO,13-013,2
XOCHIMILCO,13-014,82
XOCHIMILCO,13-015,75
XOCHIMILCO,13-017,95
XOCHIMILCO,13-021,398
XOCHIMILCO,13-022,25
XOCHIMILCO,13-023,301
XOCHIMILCO,13-024,24
XOCHIMILCO,13-026,31
XOCHIMILCO,13-027,42
XOCHIMILCO,13-028,63
XOCHIMILCO,13-030,128
XOCHIMILCO,13-031,19
XOCHIMILCO,13-032,44
XOCHIMILCO,13-034,30
XOCHIMILCO,13-035,92
XOCHIMILCO,13-036,45
XOCHIMILCO,13-037,24
XOCHIMILCO,13-038,30
XOCHIMILCO,13-039,24
XOCHIMILCO,13-040,28
XOCHIMILCO,13-042,114
XOCHIMILCO,13-043,603
XOCHIMILCO,13-044,18
XOCHIMILCO,13-046,30
XOCHIMILCO,13-047,53
XOCHIMILCO,13-048,80
XOCHIMILCO,13-049,31
XOCHIMILCO,13-050,133
XOCHIMILCO,13-052,243
XOCHIMILCO,13-053,21
XOCHIMILCO,13-054,400
XOCHIMILCO,13-056,342
XOCHIMILCO,13-057,315
XOCHIMILCO,13-058,148
XOCHIMILCO,13-059,38
XOCHIMILCO,13-060,31
XOCHIMILCO,13-061,17
XOCHIMILCO,13-063,38
XOCHIMILCO,13-064,250
XOCHIMILCO,13-065,296
XOCHIMILCO,13-066,1
XOCHIMILCO,13-067,426
XOCHIMILCO,13-069,109
XOCHIMILCO,13-072,42
XOCHIMILCO,13-073,372
XOCHIMILCO,13-074,388
XOCHIMILCO,13-076,394
XOCHIMILCO,13-077,6
XOCHIMILCO,13-079,2
XOCHIMILCO,13-083,50
